start	end	text
0	6000	Ma una proposizione è un giudizio di valore, di verità, rispetto alla barabia di chiedezza.
6000	11000	Se io dico che piove, questa è una situazione.
11000	17000	Se io dico che è vero che piove, questa è una proposizione.
17000	19000	E voi mi dici che è una cosa?
19000	21000	No, non è una cosa.
21000	32000	Perché nel momento in cui tu ti permetti di dire è vero che piove, puoi dire anche falso che piove.
32000	36000	E puoi anche dire non so se piove.
36000	48000	Il tuo giudizio sul valore di verità è un giudizio che permette la sezione del giudizio di valore di verità su una sezione.
48000	56000	Ti permette di dire sia che la sezione è falsa, e questo può introdurre il famoso segno negazione che avete visto.
56000	59000	Ma anche fatta da non sai.
59000	60000	Ok?
60000	70000	E, come vedremo poi nel testario dei algoritmi, la conoscenza della detta parziale è insieme alla conoscenza negativa
70000	75000	e dove, semplicemente, i 93% degli errori vengono fatti.
75000	85000	Quindi, di fatto, noi, in questo corso qui, ci occupiamo di quelle quattro attività e, in particolare, di queste quattro...
85000	86000	Cosa sono queste quattro?
86000	88000	Sono rappresentazioni del mondo.
88000	102000	Sono quattro rappresentazioni del mondo che noi costruiamo sequenzialmente, in qualche maniera, e che è la logica che permette di ricostruire e di radunarci solo.
102000	103000	Ok?
103000	119000	Quindi, di fatto, noi, alla fine di questa lezione, spero di essere riuscito a capire come, su questi quattro concetti, noi riusciamo a fare un calcolo, un algoritmo,
119000	129000	tale per cui riusciamo, alla fine, a fare qualcosa, avere una memoria, capire se la memoria che abbiamo è consistente con quello che abbiamo visto.
129000	136000	È vero, se io vedo un uomo a tre gambe, è vero o non è vero? Non l'ho mai visto, quindi, o è venuto un marziano, o non è vero.
136000	139000	Però non è un uomo, perché l'intenso è un uomo a ripregare.
139000	154000	Non solo, il fatto di riuscire a estendere quello che conosciamo, tramite tecniche di ragionamento, che ci permettono anche di derivare, di capire, di conoscere quello da noi.
154000	172000	E ovviamente, ovviamente, non è vero nei grandi sistemi informatiche, ma sicuramente, nei sistemi dell'intenso artificiale, questa roba qui viene implementata una pipeline,
172000	177000	continuiamo a andare, continuiamo a percepire, continuiamo a ritirre la memoria, continuiamo a aggiustare, l'alliniamo, eccetera, eccetera, eccetera.
177000	197000	In fatto, questo è il processo, i dati, le percezioni che percepiamo, delle rappresentazioni, poi queste rappresentazioni subconsci, delle immagini diventano concetti,
197000	206000	proiezioni, nuovi, diventano assezioni che sono proprietà di quello che abbiamo visto, una cosa, una maglietta nera, una maglietta nera, una maglietta da sopra che vogliamo,
206000	212000	e diventano giudizi di verità, vero, farso, di quello che ci dicono, sono assezioni.
212000	222000	Beh, noi dobbiamo semplicemente formalizzare questo aspetto qui e fare un calcolo logico che formalizza questo aspetto farso.
222000	228000	Ricorderei che questo slide qui, è un record, devo scrivere un record qui,
228000	232000	avevamo parlato di rappresentazioni analogiche e rappresentazioni linguistiche.
232000	239000	Allora c'è il mondo, ma al mondo nessuno ha accesso, noi abbiamo accesso a quello che percepiamo
239000	245000	e questo è quello che viene chiamato le percezioni, quello che noi percepiamo.
245000	256000	Tutto il resto, quindi le altre tre rappresentazioni, concetti, assezioni e proposizioni, sono nella parte di vista.
256000	267000	Come vedremo fa cinque minuti, fino adesso, e nei corsi di logica, abbiamo fatto un sacco di linguarchi,
267000	274000	la richieste imparchi, tipo di AR model, di UMR, quello che volete, ma non si è venuto da sintassi più o meno precisamente,
274000	276000	ma non vi hanno mai dato la semantica.
276000	284000	Quindi vi hanno detto, più o meno, in un AR model, quella roba di voler proprietà, ma non avendovi dato la semantica,
284000	294000	non potevano e non potranno mai dimostrare che un certo calcolo, un certo algoritmo è corretto rispetto a quello che hai visto.
294000	301000	Quindi l'elemento di nuovo, in un porto di questo corso, gli diamo un meccanismo per analizzare la semantica,
301000	306000	così chiamata, delle rappresentazioni analogiche tramite gli soggetti di certi percezioni
306000	314000	e sulla base di quello non solo vi darò le regole come sopprima per calcolare alfa, ma dimostreremo che sono corrette e complesse.
314000	321000	Ovvero sia, se quella tua memoria è corretta, sei garantito che quello che deduci è corretto.
321000	328000	Non solo, sei garantito, sono su certi posti, certi calcoli molto costosi, dal punto di vista computazionale,
328000	332000	e sei complesso, ovvero siamo in un meeting di attore di umanità.
332000	335000	Chiaro? Qui dove stiamo andando?
335000	337000	Parola interessante?
337000	345000	Quindi di fatto adesso noi, in questo corso vi do, in questo corso, in questa lezione della panoramica
345000	350000	arrivando al mondo a Quaggima, questa è la rappresentazione che vi ricordate che abbiamo messo nella lezione precedente,
350000	356000	dicendo tutto questo è mentale, noi ci dobbiamo dare dei linguaggi di rappresentazione che ci mappano questo processo,
356000	359000	esattamente quello che dobbiamo fare, ed è quello che facciamo adesso.
359000	366000	In questa lezione proverò a raccontarvi, usando il tuo certo di piramide, vedremo anche poi,
366000	381000	dove mai, in che modo il processo di formalizzazione logica si struttura garantendo in ogni passo la correttezza e la concretetta del ragionamento,
381000	388000	del ragionamento, quello sia della capacità di vivere spazio con un video.
388000	389000	Ok!
389000	390000	Ok!
390000	395000	Un po' di piramidi da fare adesso.
395000	410000	Questa piramide, la prima, è stata fatta da un famoso retabesista dell'89, con le basse blu rata.
410000	420000	e l'ho fatta, e l'ho messa, anche se prima fanno amico, perché in qualche maniera si mappa sui termini che noi conosciamo.
420000	425000	Ovviamente questa wisdom qui non si sa bene che cos'è, infatti se uno legge il paper non si sa bene cos'è.
425000	430000	Ma i dati, in qualche maniera, lo capiamo.
430000	434000	Lui ha detto, quando tu fai un sistema informativo,
434000	438000	devi avere i dati,
438000	441000	i dati portano l'informazione.
441000	447000	E' interessante, lui fa Information Systems, quindi lui dice, i dati da soli non può alcune informazioni.
447000	450000	I dati connessi danno informazione.
450000	455000	In realtà, se ci pensate bene, i dati, in qualche maniera sono simili a quello che ho chiamato per certi,
455000	459000	perché il dato è qualche dato, vuol dire che ti è stato dato.
459000	463000	L'informazione, in qualche maniera, l'informazione che hai sui vari dati.
463000	466000	La conoscenza è la conoscenza che tu sai.
466000	471000	E lui, su wisdom, si è un po' allappicato sui detti, in realtà non si capisce cosa vuol dire.
471000	477000	Noi qui, in qualche maniera, lo tradiciamo come la capacità di ragionare su quello che sai e quello che non sai,
477000	478000	e di fare la scelta di tutto.
478000	480000	Se guarda il suo vocabolario,
480000	482000	wisdom ha questo significato di
482000	485000	si dici vecchi se non saggi,
485000	487000	perché sono una scelta giusta,
487000	489000	quindi ho una capacità.
489000	491000	Poi, chiaramente, è molto discutibile,
491000	493000	anzi direi che è abbastanza avvaliata
493000	496000	a assumere che la wisdom è una saggette se è solo ragionamento,
496000	498000	ma in questo contesto ci va bene.
498000	502000	Dunque, il punto fondamentale, volevo dire, che le quattro di questa slide qui,
502000	504000	e poi qui potete leggere i dettagli,
504000	510000	i quattro livelli che io vi ho rappresentato,
510000	512000	le fasi della granito umano,
512000	514000	e in realtà si mappano abbastanza naturalmente
514000	516000	sui quattro concetti che noi facciamo
516000	518000	o non facciamo dei tabelli di sistemi informativi
518000	520000	e anche di dirigenza speciale.
520000	523000	E in effetti, in questo corso,
523000	525000	noi andremo avanti in parallelo a fare due gara loghi
525000	527000	come moderazione dell'allevamento,
527000	529000	ma in tutte le esercitazioni,
529000	531000	vedremo come tutto,
531000	533000	a cominciare anche da oggi,
533000	535000	in maniera minima,
535000	537000	come tutto quello che noi formalizziamo in oggi
537000	539000	che in realtà ha una controparte
539000	541000	in quello che avete visto
541000	543000	e questa vettiglia ha visto in parte anche la Volca Suisse.
549000	551000	E questo è quello che ho avuto.
551000	553000	se uno...
553000	555000	questa è quella di Primer,
555000	557000	è la di KVB,
557000	559000	che è il tablu,
559000	560000	che è in me.
560000	561000	Se la guarda
561000	563000	con la slide precedente
563000	565000	che vi ho fatto vedere,
565000	567000	sono i percetti,
567000	569000	i concetti,
569000	571000	i concettori e le azioni,
571000	573000	se nella soluzione sono le proposizioni.
573000	575000	Allora uno dice,
575000	577000	ma perché hai messo i dati fuori?
577000	579000	Ho messo i dati fuori perché
579000	581000	in questa maniera,
581000	583000	lui permette dal sistema in coda informatico,
583000	585000	se ne ho ridato le esprime,
585000	587000	pensate bene,
587000	589000	cos'è la percezione?
589000	591000	La percezione è un altro processo tale per cui
591000	593000	una formazione esterna mi arriva in testa.
593000	595000	Quindi la percezione
595000	597000	è quel qualcosa
597000	599000	che prende i dati
599000	601000	e li porta
601000	603000	su una presentazione
603000	605000	analogica, come l'abbiamo chiamata.
605000	607000	E poi...
607000	609000	io dieci minuti fa
609000	611000	gliel'ho presentato come
611000	613000	il fatto di collegare,
613000	615000	non dire solamente
615000	617000	ho visto una persona,
617000	619000	ho visto una persona vicino a una persona
619000	621000	e questa informazione.
621000	623000	Il concetto di concettosizioni
623000	625000	che è il concetto di legare le parole
625000	627000	per scrivere cose vero o false
627000	631000	è essenzialmente un concetto di informazione.
631000	633000	La conoscenza è quella che sappiamo
633000	635000	e io l'ho chiamata con i servizi di assenzione.
635000	637000	Lui ha questo termine wisdom
637000	639000	che io dico è la capacità di dare
639000	641000	un giudizio di valore, magari
641000	643000	nel caso di Leonardo non è solamente
643000	645000	vero o false, ma non ci basta per il momento.
645000	647000	Ovviamente non puoi entrare
647000	649000	quello che vuoi.
649000	651000	lì che ho rivivito
651000	653000	tu voglio align me fra
653000	655000	però in questo contesto
655000	657000	in questo contesto per noi
657000	659000	la saggezza è la capacità
659000	661000	di fare un giudizio
661000	663000	un giudimento di valore di verità
663000	665000	su una sezione che viene detta
665000	667000	sul mo', sì?
667000	669000	Ma la nostra conoscenza
669000	671000	può modificare la percezione?
671000	673000	Sì, quella.
673000	675000	Tu vedi solo quello che ti aspetti
675000	677000	c'è un sacco
677000	679000	c'è un sacco in realtà
679000	681000	e Nathalie che è quello che succede a sé
681000	683000	c'è un sacco di evidenza psicologica
683000	685000	noi vediamo quello che c'è stata
685000	687000	in realtà
687000	689000	ed è anche il motivo per durare la gente
689000	691000	qua fatica a cambiare l'opinione
695000	697000	poi uno qua
697000	699000	c'è la
699000	701000	voglio vi faccio un esempio
701000	703000	se tu vedi in casa
703000	705000	in casa sui editori
705000	707000	e tu vedi un'obra muoversi
707000	709000	non la vedi?
709000	711000	vedi uno che non è mai visto in casa
711000	713000	o vedi esattamente quello che ti ha detto
713000	717000	è chiaro che la memoria
717000	719000	si crea un priori cortissimo
719000	721000	ed è il motivo per cui
721000	723000	chi fa l'MI
723000	725000	o anche chi fa
725000	727000	sistemi di treni o qualunque cosa
727000	729000	riesce a farlo bene
729000	731000	perché una volta hai visto una molda
731000	733000	ci vede la seconda volta
733000	735000	poi dieci volte hai visto
735000	737000	certo potreste andare in casa
737000	739000	l'ombra che è dell'alto
739000	741000	però voglio dire
741000	743000	è uno cintomila
743000	745000	quindi è di un cerchio più di una piramide
745000	747000	è l'atto
747000	749000	i faschi è l'atto
749000	751000	infatti è veramente più
751000	753000	cintomila
753000	755000	soltanto che se tu lo vedi
755000	756000	come vediamo
756000	757000	perché non gli ha messo in una piramide
757000	759000	perché la piramide
759000	761000	e i binoni si apronteranno
761000	763000	perché devi attassare il livello di astrazione
765000	767000	più sali
767000	769000	e più ti avvolta la realtà
769000	771000	e vedremo a fine lezione
771000	773000	che a questo livello qui
773000	774000	non c'è più la realtà
774000	775000	c'è solo vero o falso
775000	777000	come ho detto la volta scorsa
777000	778000	nel ragionamento
778000	779000	lo formalizziamo in logica
779000	780000	dov'è il mondo?
780000	781000	il mondo non c'è più
781000	783000	l'importante è solamente
783000	785000	mettere insieme la verità
785000	787000	quindi la piramide vuol dire
787000	789000	stiamo alzando
789000	791000	stiamo dando struttura
791000	793000	a quello che vediamo
793000	795000	e tanto più diamo struttura
795000	797000	e più creiamo dei prior
797000	799000	e più creiamo dei prior
799000	801000	e più influenziamo quello che
801000	804000	quello che andiamo a vedere dopo
804000	805000	è del motivo
805000	806000	tutte queste storie qui
806000	807000	per cui
807000	808000	è sempre difficile
808000	809000	anche in vista
809000	810000	anche sociale
810000	811000	sociologico
811000	812000	accettare cose diverse da te
812000	813000	perché se mi intimidano
813000	814000	talmente
814000	816000	non è allenato
816000	817000	magari un fa una cosa diversa
817000	818000	no fa male
818000	819000	no magari fa solo diversa da te
819000	820000	ma tu
820000	822000	volisci a capire cosa sta facendo
822000	824000	non hai il coraggio pronto
824000	825000	ok?
828000	829000	qui ho detto appunto
829000	830000	che ho scrittato questa dama qui
830000	832000	perché io il dato
832000	833000	lo intendo
833000	835000	come il dato
835000	836000	come nella mia testa
836000	838000	facendo questa falsa qui
838000	840000	io il mondo non ce l'ho più
840000	841000	ok?
841000	843000	e perché il mondo non ce l'ho più
843000	844000	mi aiuta?
844000	845000	perché a questo punto io
845000	846000	se riesco a darvi
846000	847000	come riuscirò a darvi
847000	848000	una forma ridazione
848000	849000	di questo oggetto
849000	850000	del mondo
850000	852000	posso darvi una definizione
852000	854000	una definizione di correttezza
854000	855000	io posso darmi una domanda
855000	856000	ma la concettualizzazione qua
856000	857000	perché scrive questo
857000	858000	sì o no
858000	859000	posso farlo
859000	860000	lo farò esattamente questo
860000	862000	questo calcolo mi permette di descrivere
862000	863000	una cosa
863000	864000	sì lo faccio
864000	865000	questo diventa un formalismo
865000	866000	facendo questo
866000	868000	ho un formalismo formale
868000	869000	tale per cui
869000	870000	io posso
870000	872000	calcolare la correttezza
872000	873000	questa è la completezza
873000	875000	o qualunque altra priorità
875000	876000	di consistenza
876000	877000	le vedremo varie
877000	878000	ce ne sono varie
878000	881000	rispetto al mio formale
883000	884000	e infatti
884000	885000	queste
885000	887000	dalla slide precedente
887000	888000	la seconda che vi ho fatto vedere
888000	889000	sono le quattro
889000	894000	che sono messe un po' più basse
894000	895000	cioè
895000	897000	la percezione
897000	899000	prende lì tutti i dati
899000	901000	e produce i percetti
901000	902000	ok
902000	905000	poi fatti i percetti nel mondo
905000	906000	ho questa roba
906000	907000	nella mia
907000	908000	memoria
908000	909000	inconscia
909000	912000	gli do un nome
912000	914000	vediamo per un secondo
914000	915000	e poi compongo
915000	916000	poi
916000	917000	dopo che li ho composti
917000	918000	prendo
918000	919000	quelle che
919000	920000	le mia costruzioni linguistiche
920000	921000	di quello che ho visto
921000	922000	e li metto in memoria
922000	923000	e provo a collegarli
923000	924000	con quelli che ci sono
924000	925000	quindi
925000	926000	in ogni passo
926000	927000	la mia attività
927000	929000	prende in output
929000	930000	in output
930000	931000	c'è strutture d'acchi
931000	932000	delle rappresentazioni del mondo
932000	933000	derivate al precedente
933000	934000	le
934000	935000	sare
935000	936000	qui abbiamo immagini
936000	937000	qui dobbiamo rappresentare
937000	938000	abbiamo immagini
938000	939000	nel mondo reale
939000	940000	dobbiamo avere una formalità
940000	941000	che ci prende
941000	942000	di rappresentare le immagini
942000	943000	qui abbiamo linguaggio
943000	944000	qui abbiamo una memoria
944000	945000	qui abbiamo proposizioni
945000	946000	in ogni passo
946000	947000	in ogni passo
947000	948000	tu devi riuscire
948000	949000	e hai questa funzione
949000	950000	che formalizzeremo
950000	951000	tutti questi fasi
951000	952000	di formalizziamo
952000	953000	matematicamente
953000	954000	è chiaro?
954000	955000	quindi
955000	956000	la logica
956000	957000	questo punto
957000	958000	la vedremo adesso
958000	959000	e l'altro non è che
959000	960000	facendo queste ipotesi
960000	961000	che faccio adesso
961000	962000	per ossia
962000	963000	di darmi
963000	965000	un formalismo
