start	end	text
0	20360	Ma una proposizione è un giudizio di valore, di verità rispetto alla cosa che c'è detto, se io dico piove, questa è una sezione, se io dico è vero che piove, questa è una proposizione, e voi mi dite è una stessa cosa, e no, non è una stessa cosa,
20360	34840	perché nel momento che tu ti permetti di dire è vero che piove, puoi dire anche falso che piove, e puoi anche dire non so se piove.
34840	51160	Il tuo giudizio sul valore di verità è un giudizio che permette la sezione del giudizio di valore di verità su una sezione, ti permette di dire sia che la sezione è falsa,
51160	59280	e questo può introdurre il famoso segno negazione che avete visto, ma anche il fatto che non sai, ok?
59280	73280	E, come vedremo poi nel testato che non fanno gli algoritmi, la conoscenza della detta parziale è, insieme alla conoscenza negativa, è dove essenzialmente il 90% degli errori vengono fatti.
75380	85460	Quindi di fatto noi in questo corso qui, ci occupiamo di quelle quattro attività, e in particolare di queste quattro, cosa sono?
85460	95860	Sono rappresentazioni del mondo, sono quattro rappresentazioni del mondo, che noi costruiamo sequenzialmente, in qualche maniera,
97240	102740	e che la logica ti permette di ricostruire e di ragionarci solo, ok?
102740	113760	Quindi di fatto noi, alla fine di questa lezione, spero di essere riuscito a farvi capire come, su questi quattro concetti,
115940	122640	noi riusciamo a fare un calcolo, un algoritmo, tale per cui riusciamo alla fine a far cosa?
122640	129340	Avere una memoria, capire se la memoria che abbiamo è consistente con quello che abbiamo visto,
130680	136820	è vero, se io vedo un uomo a tre gambe, è vero o non è vero? Non l'ho mai visto, quindi, o è venuto un marziano, non è vero.
137180	139500	Però non è un uomo, perché in finché non è un uomo a tre gambe.
140540	148160	Non solo, il fatto di riuscire a estendere quello che conosciamo tramite meccanibili ragionamento,
148160	154200	che ci permettono anche di derivare, di capire, di conoscere cosa noi non sappiamo.
156280	164800	E ovviamente, questo ovviamente non è vero nei grandi sistemi informatici,
164800	172020	ma sicuramente nel sistema di diritto artificiale, questa roba qui viene implementata una pipeline,
172160	174920	continua ad andare, continua a percepire, continua a richiedere la memoria,
175060	177460	continua a aggiustare, l'alliniamo, eccetera, eccetera, eccetera.
178160	190380	Di fatto questo è il processo, i dati, le percezioni, le percepiamo, delle rappresentazioni,
191720	198220	poi queste rappresentazioni subconsci delle immagini diventano concetti, concettualizzazioni, nuovi,
199180	202480	diventano sezioni che sono proprietà di quello che abbiamo visto,
202620	206480	una cosa, una maglietta nera, una maglietta, cosa vogliamo,
206480	211640	ma diventano giudizi di verità, vero o falso di quello che ci dicono sono assenzioni.
212000	216800	Bene, noi dobbiamo semplicemente formalizzare questo aspetto qui
216800	221120	e fare un calcolo logico che formalizza questo aspetto falso.
223780	225260	Ricorderete questa slide qui?
226160	227800	È un record, voglio scrivere il record qui.
227800	231680	Abbiamo parlato di rappresentazioni analogiche e di rappresentazioni linguistiche.
233760	236260	Allora c'è il mondo, ma al mondo nessuno ha accesso,
236320	238940	noi abbiamo accesso a quello che percepiamo
