start	end	text
14932	34750	Ci siamo avvicinati alla logica, finalmente abbiamo fatto la parte iniziale di hackerate sul mondo, ci si permette in qualche maniera di dare l'intuizione perché la logica serve e ora li utilizziamo.
36071	43538	Ricordo abbiamo fatto a parte la parte introduttiva, abbiamo formalizzato un concetto di modello in termini di periodo di insieme,
44395	51642	Abbiamo formalizzato il concetto di teoria con un insieme di assezioni scritte secondo una certa grammatica.
54165	69880	Ora dobbiamo, in questa ultima parte che riguarda il ragionamento e la logica, collegare, darci matematicamente il tool per collegare quello che noi diciamo a quello che noi abbiamo in testa e non possiamo comunicare.
72256	96036	quindi il concetto di modello del mondo che è quello che voi avete usato sistematicamente sempre e anche a lezione è che dobbiamo, abbiamo i modelli abbiamo le teorie, dobbiamo formalizzare la corrispondenza, dobbiamo essere certi che quando noi diciamo una cosa nella misura in cui abbiamo lo stesso modello del mondo e quello che noi diciamo
101821	120989	Notate bene che io sto dicendo che non abbigo, quindi non sto parlando adesso di discutere o meno se una cosa è falsa, sto dicendo che deve essere chiaro che se io dico casa, voi intendete quello che crea dei modelli è una casa.
121911	128841	Quindi ci stiamo dando il linguaggio, il meccanismo di mapping del linguaggio alla semantica intesa.
131133	140242	Poi dopo, quando noi abbiamo messo a posto matematicamente il mapping da linguaggio di ciò che intendiamo, parleremo di ciò che è vero e ciò che è falso.
140262	149591	Una volta che abbiamo parlato di ciò che è vero e ciò che è falso, potremo parlare di teorie e possiamo parlare di ragionamento.
149611	156698	Quindi, dato questo, cos'è un modello formale, un modello del mondo?
156718	157579	È una tripla.
160225	187735	è una tripla, un dominio di interpretazione che sappiamo già che formalizzeremo in teoria dell'insieme, un linguaggio assenzionale che sappiamo già che modelleremo con una qualche grammatica di tipo 1,2,2,1,2,2,3,3,4,5,6 e la funzione di interpretazione, una funzione di interpretazione
190128	200947	una funzione che mappa gli elementi del linguaggio e deve essere tale per cui una colonna base unica nel linguaggio corrisponde a quello che io intendo nel modello.
201047	209402	Adesso abbiamo tutto, abbiamo il linguaggio insieme di stringhe, il modello insieme di percenti
227557	235065	e spero magari la prossima volta di riuscire a mandarvi il giorno prima in modo che possiate usare, sono ancora un po' in salita.
235966	252884	Il punto fondamentale che pubblichiamo oggi è che questa roba qui, l'avete sempre fatta, la siamo sempre fatta, la stiamo solamente formalizzando, non stiamo facendo niente.
252904	254205	E c'è una cosa importante da dire che, questo è importante perché
255299	261905	Perché in qualche maniera, non è che questa trippa già stiamo inventando, non è che la logica ha detto c'è un qualcosa e prima non c'era, no, c'è sempre stata.
262186	266009	Da quando siete bambini o siete bambini ci fanno vedere il disegno di un libro e dicono libro.
269253	270053	Qual è la differenza?
270133	279062	Che normalmente nel linguaggio naturale il linguaggio è informale, l'oggetto lo fanno vedere informalmente e il mapping è, più o meno, indicare un dito nel sistema.
279963	283146	Questo si chiama i modali semi-informali, simuliamo i modali informali.
284223	294818	I modelli formali sono modelli dove sia l'insieme delle forme del linguaggio che l'insieme del percepimento, del dominio sono informali.
294838	301367	Poi ci sono i modelli semiformali che sono quelli che voi avete fatto fino adesso, che vi ho insegnato adesso.
302508	313183	In qualche maniera, per quanto in alcuni casi ve l'ho detto formalmente, in qualche modo è andata una sintassi informale, una sintassi formale più o meno definita formalmente,
314125	323879	e mi hanno fatto capire in linguaggio descrittivo che cosa per i grafici significavano le mosche reali.
323899	325602	Ora noi facciamo i modelli formali.
328666	330790	Possiamo farlo perché abbiamo finito matematicamente.
333674	342006	Notate bene che
342205	351879	Quello che vi sto dicendo adesso è indipendente dal linguaggio, è indipendente dal potere.
352701	362956	Vi ho detto che tutti i linguaggi creano delle assezioni, possono essere vere o false, però tutto quello che vi sto dicendo è indipendente dal linguaggio.
362976	367723	Infatti, fra oggi e domani vi farò vedere che
369357	383294	indipendentemente dalla sintassi che usate, gli armori, gli armori e così via, ci sono solo 7 tipi di modelli del mondo a secondo di che tipo di conoscenza organica e gestisca.
383314	383374	Ok?
383394	397491	Quindi stiamo dando un modo di pensare e poi faremo vedere, a cominciare dalla parte di I, in come per ognuno di quei 7 modelli, che sono tutti invarianti sulla specifica sintassi che usate, ma che di fatto
398146	403913	perché si distinguono da quello che dicono, non da come lo dici.
403933	407257	Per ognuno di quei sette modelli faremo un modello di inferenza.
408738	410680	E' chiaro?
410701	425858	Quindi vi sto dicendo che tutti, vi sto dicendo che tutto ciò che avete, tutti i vostri, sto dicendo un'affermazione molto forte, che tutte, del forno di ragionamento che voi fate, sono i codici, vi da ragionamento, ha un'unica forma di ragionamento su uno di sette modelli.
431339	440049	La funzione di determinazione è la cosa ovvia, la funzione.
440069	444634	Se noi vediamo il linguaggio, ricordate che abbiamo parlato di linguaggio assenzionale?
445395	453364	Se ricordate la ricorda precedente avevo detto che un linguaggio assenzionale
468852	489510	un'aggiornazionale è un insieme di asserzioni scritto così e ho detto anche che un dominio nell'ultima parte della lezione sui modelli è un insieme di fatti dovrebbe essere un fatto quindi altro non è
490283	498791	Deve essere tale che devo trovare semplicemente un modo tale per cui d'altro qualcuno che a sezione A mi costruisca un fetto.
499092	506359	Il fatto devo semplicemente fare questo, darlo da una funzione.
508041	518451	Tutte le diverse sintassi che faremo e prima ancora più diversi tipi di modelli del mondo si distingueranno semplicemente, prima di tutto,
520304	530018	dal tipo di associazioni nel dominio della funzione, di interpretazione e poi dei percetti che vanno a scegliere matematicamente nel dominio.
540674	545822	Si dice che ci sono varie notazioni
546275	552864	Questa notazione si usa nel mondo dei database, ancora meno l'Italia.
552884	561235	Si dice che F è l'interpretazione di A oppure che A denota o nomina F, è un nome.
561255	565380	Qualunque stile, anche se dicio tale, è un nome per un qualcosa che è nella vostra testa.
574490	597680	e come ho detto ci sono diversi tipi di modelli, questo l'ho già detto prima, sono diversi tipi di modelli del mondo che richiederanno delle logiche del mondo diverse, ricordate che la piramide sono le quattro livelli, le logiche del mondo sono il livello terzo al terzo piano, le logiche del linguaggio sono al quarto piano.
